Comparison,Assay,OLINK.ID,Protein.ID,Uniprot.ID,logFC,CI.L,CI.R,AveExpr,P.Value,adj.P.Val
Control_v_Case,Neurology,OID00328,GDF-8,O14793,-1.40,-1.85,-0.96,3.21,0.00,0.00
Control_v_Case,Inflammation,OID00479,OPG,O00300,0.90,0.62,1.19,10.40,0.00,0.00
Mild_v_Critical,Inflammation,OID00522,HGF,P14210,2.14,1.55,2.72,9.21,0.00,0.00
Control_v_Critical,Cardiovascular,OID00420,CD84,Q9UIB8,-1.31,-1.69,-0.93,5.30,0.00,0.00
Control_v_Case,Cardiovascular,OID00383,SLAMF7,Q9NQ25,1.52,1.03,2.00,3.65,0.00,0.00
Control_v_Critical,Immune,OID01003,ICA1,Q05084,-2.48,-3.21,-1.76,2.60,0.00,0.00
Control_v_Case,Neurology,OID00302,PRTG,Q2VWP7,-0.51,-0.67,-0.34,6.47,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00386,BOC,Q9BWV1,-0.86,-1.11,-0.62,3.28,0.00,0.00
Control_v_Critical,Immune,OID00965,LILRB4,Q8NHJ6,1.79,1.26,2.32,4.23,0.00,0.00
Control_v_Critical,Immune,OID00950,IRAK1,P51617,-2.33,-3.01,-1.64,3.71,0.00,0.00
Control_v_Mild,Cardiovascular,OID00382,CD40-L,P29965,-4.12,-5.34,-2.90,5.66,0.00,0.00
Control_v_Case,Immune,OID00997,PIK3AP1,Q6ZUJ8,-1.66,-2.21,-1.12,3.68,0.00,0.00
Control_v_Mild,Immune,OID00996,BACH1,O14867,-1.90,-2.47,-1.33,2.00,0.00,0.00
Control_v_Case,Inflammation,OID00477,CD244,Q9BZW8,-0.62,-0.82,-0.42,5.85,0.00,0.00
Control_v_Case,Immune,OID01002,SH2D1A,O60880,-1.38,-1.84,-0.93,2.34,0.00,0.00
Control_v_Case,Cardiovascular,OID00388,SRC,P12931,-1.76,-2.34,-1.18,6.31,0.00,0.00
Control_v_Case,Immune,OID00943,CNTNAP2,Q9UHC6,-0.80,-1.07,-0.54,1.53,0.00,0.00
Control_v_Critical,Cardiovascular,OID00389,IL-1ra,P18510,2.43,1.69,3.17,6.23,0.00,0.00
Control_v_Critical,Neurology,OID00318,CLEC1B,Q9P126,-1.72,-2.24,-1.20,11.81,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00408,SCF,P21583,-1.40,-1.80,-1.00,8.76,0.00,0.00
Mild_v_Critical,Inflammation,OID00479,OPG,O00300,1.06,0.76,1.37,10.52,0.00,0.00
Mild_v_Critical,Neurology,OID00296,EZR,P15311,0.80,0.57,1.03,4.29,0.00,0.00
Mild_v_Critical,Immune,OID00965,LILRB4,Q8NHJ6,1.71,1.22,2.20,4.54,0.00,0.00
Control_v_Mild,Immune,OID01004,DFFA,O00273,-3.02,-3.94,-2.10,5.65,0.00,0.00
Control_v_Case,Inflammation,OID00476,CDCP1,Q9H5V8,1.31,0.87,1.75,3.25,0.00,0.00
Control_v_Critical,Inflammation,OID00520,CXCL5,P42830,-2.73,-3.57,-1.90,11.88,0.00,0.00
Mild_v_Critical,Immune,OID00938,PSIP1,O75475,1.78,1.26,2.29,3.54,0.00,0.00
Mild_v_Critical,Neurology,OID00316,CNTN5,O94779,-1.38,-1.78,-0.98,4.17,0.00,0.00
Control_v_Mild,Immune,OID00946,EDAR,Q9UNE0,-2.87,-3.75,-1.99,3.17,0.00,0.00
Control_v_Mild,Neurology,OID00315,SIGLEC1,Q9BZZ2,1.77,1.23,2.31,6.02,0.00,0.00
Mild_v_Severe,Inflammation,OID00482,IL6,P05231,2.77,2.09,3.45,3.20,0.00,0.00
Mild_v_Severe,Cardiovascular,OID00390,IL6,P05231,2.75,2.09,3.41,4.01,0.00,0.00
Mild_v_Severe,Immune,OID00967,KRT19,P08727,2.45,1.86,3.04,2.69,0.00,0.00
Mild_v_Critical,Inflammation,OID00471,IL8,P10145,2.39,1.69,3.09,5.83,0.00,0.00
Control_v_Critical,Cardiovascular,OID00432,HO-1,P09601,1.53,1.06,2.00,11.99,0.00,0.00
Control_v_Case,Neurology,OID00339,GZMA,P12544,0.88,0.59,1.18,6.28,0.00,0.00
Mild_v_Critical,Inflammation,OID00524,IL-24,Q13007,1.03,0.73,1.34,1.37,0.00,0.00
Mild_v_Critical,Immune,OID01027,BTN3A2,P78410,1.21,0.85,1.57,3.52,0.00,0.00
Mild_v_Critical,Neurology,OID00357,CDH6,P55285,-0.68,-0.88,-0.48,4.18,0.00,0.00
Control_v_Mild,Immune,OID00982,PLXNA4,Q9HCM2,-2.90,-3.81,-2.00,4.65,0.00,0.00
Control_v_Case,Cardiovascular,OID00450,GDF-2,Q9UK05,-1.54,-2.07,-1.01,8.46,0.00,0.00
Mild_v_Severe,Immune,OID00947,IL6,P05231,2.62,1.97,3.28,3.04,0.00,0.00
Control_v_Case,Cardiovascular,OID00432,HO-1,P09601,1.16,0.76,1.55,11.91,0.00,0.00
Control_v_Mild,Immune,OID01002,SH2D1A,O60880,-2.04,-2.68,-1.40,2.49,0.00,0.00
Control_v_Case,Neurology,OID00340,G-CSF,P09919,1.32,0.87,1.78,3.25,0.00,0.00
Control_v_Severe,Neurology,OID00371,LAT,O43561,-6.22,-7.85,-4.58,9.11,0.00,0.00
Control_v_Critical,Inflammation,OID00534,CXCL6,P80162,-2.67,-3.51,-1.83,9.49,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00464,CA5A,P35218,1.79,1.25,2.34,3.70,0.00,0.00
Mild_v_Critical,Neurology,OID00372,NTRK3,Q16288,-0.84,-1.10,-0.58,6.95,0.00,0.00
Control_v_Severe,Neurology,OID00318,CLEC1B,Q9P126,-4.41,-5.59,-3.22,11.99,0.00,0.00
Control_v_Critical,Neurology,OID00307,CPA2,P48052,-2.18,-2.87,-1.48,9.65,0.00,0.00
Control_v_Critical,Cardiovascular,OID00391,TNFRSF10A,O00220,1.51,1.03,1.99,3.56,0.00,0.00
Control_v_Mild,Cardiovascular,OID00388,SRC,P12931,-2.01,-2.65,-1.37,6.55,0.00,0.00
Control_v_Critical,Neurology,OID00360,CTSS,P25774,0.82,0.56,1.08,5.89,0.00,0.00
Control_v_Mild,Inflammation,OID00480,LAP TGF-beta-1,P01137,-1.87,-2.47,-1.27,6.84,0.00,0.00
Mild_v_Critical,Immune,OID00993,IL10,P22301,1.32,0.91,1.72,4.89,0.00,0.00
Mild_v_Critical,Immune,OID00953,PRDX3,P30048,0.68,0.47,0.89,-0.06,0.00,0.00
Control_v_Critical,Immune,OID00955,PRDX5,P30044,-2.20,-2.91,-1.49,6.56,0.00,0.00
Control_v_Critical,Immune,OID00946,EDAR,Q9UNE0,-2.51,-3.32,-1.70,3.01,0.00,0.00
Control_v_Critical,Cardiovascular,OID00467,NEMO,Q9Y6K9,-2.79,-3.69,-1.89,6.90,0.00,0.00
Control_v_Critical,Immune,OID00989,PRKCQ,Q04759,-1.08,-1.42,-0.73,1.47,0.00,0.00
Mild_v_Severe,Inflammation,OID00474,MCP-3,P80098,2.48,1.82,3.13,2.42,0.00,0.00
Mild_v_Severe,Neurology,OID00343,GDNFR-alpha-3,O60609,-0.97,-1.23,-0.72,4.73,0.00,0.00
Control_v_Case,Immune,OID00944,CLEC4G,Q6UXB4,0.95,0.62,1.29,3.75,0.00,0.00
Control_v_Mild,Inflammation,OID00478,IL7,P13232,-1.86,-2.47,-1.26,2.89,0.00,0.00
Control_v_Case,Immune,OID00961,GALNT3,Q14435,0.98,0.63,1.32,3.02,0.00,0.00
Control_v_Case,Inflammation,OID00486,CXCL11,O14625,2.12,1.37,2.86,9.37,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00416,SPON2,Q9BUD6,0.38,0.26,0.50,8.53,0.00,0.00
Mild_v_Severe,Inflammation,OID00500,SCF,P21583,-1.28,-1.62,-0.93,8.88,0.00,0.00
Control_v_Mild,Neurology,OID00311,Alpha-2-MRAP,P30533,-1.88,-2.49,-1.27,8.76,0.00,0.00
Control_v_Critical,Neurology,OID00344,PVR,P15151,0.89,0.60,1.18,8.55,0.00,0.00
Mild_v_Critical,Inflammation,OID00518,PD-L1,Q9NZQ7,1.04,0.71,1.37,6.18,0.00,0.00
Control_v_Critical,Inflammation,OID00484,MCP-1,P13500,1.96,1.32,2.61,12.21,0.00,0.00
Mild_v_Severe,Inflammation,OID00522,HGF,P14210,1.35,0.98,1.72,8.44,0.00,0.00
Control_v_Case,Cardiovascular,OID00397,PRSS27,Q9BQR3,-1.06,-1.44,-0.68,8.75,0.00,0.00
Control_v_Critical,Immune,OID00953,PRDX3,P30048,-1.90,-2.53,-1.27,1.36,0.00,0.00
Control_v_Mild,Inflammation,OID00528,IL10,P22301,1.30,0.87,1.72,3.62,0.00,0.00
Mild_v_Critical,Inflammation,OID00488,TRAIL,P50591,-1.13,-1.49,-0.77,7.44,0.00,0.00
Mild_v_Critical,Inflammation,OID00517,IL-18R1,Q13478,0.84,0.57,1.11,9.04,0.00,0.00
Control_v_Case,Neurology,OID00316,CNTN5,O94779,-1.32,-1.80,-0.85,4.40,0.00,0.00
Control_v_Mild,Immune,OID00997,PIK3AP1,Q6ZUJ8,-2.56,-3.40,-1.71,3.87,0.00,0.00
Control_v_Critical,Inflammation,OID00517,IL-18R1,Q13478,1.19,0.79,1.58,9.01,0.00,0.00
Mild_v_Critical,Immune,OID00987,HEXIM1,O94992,1.62,1.10,2.14,4.80,0.00,0.00
Mild_v_Severe,Immune,OID00979,BIRC2,Q13490,0.21,0.15,0.26,0.46,0.00,0.00
Control_v_Case,Inflammation,OID00494,OSM,P13725,2.13,1.36,2.90,4.97,0.00,0.00
Mild_v_Critical,Neurology,OID00364,PLXNB1,O43157,0.88,0.60,1.16,2.20,0.00,0.00
Control_v_Mild,Cardiovascular,OID00439,CCL17,Q92583,-3.33,-4.45,-2.22,9.75,0.00,0.00
Control_v_Mild,Immune,OID00964,TRIM21,P19474,-2.70,-3.61,-1.80,4.32,0.00,0.00
Control_v_Case,Neurology,OID00295,CLM-6,Q08708,0.60,0.38,0.82,6.09,0.00,0.00
Control_v_Critical,Cardiovascular,OID00402,IL-27,"Q8NEV9,Q14213",1.63,1.08,2.18,6.29,0.00,0.00
Control_v_Case,Inflammation,OID00490,CXCL9,Q07325,1.71,1.09,2.34,7.90,0.00,0.00
Control_v_Case,Cardiovascular,OID00387,IL-4RA,P24394,0.80,0.51,1.10,2.41,0.00,0.00
Control_v_Severe,Immune,OID00976,EIF4G1,Q04637,-4.63,-5.95,-3.31,6.63,0.00,0.00
Mild_v_Severe,Cardiovascular,OID00408,SCF,P21583,-1.33,-1.70,-0.95,8.96,0.00,0.00
Control_v_Case,Neurology,OID00319,ADAM 23,O75077,-1.04,-1.42,-0.66,3.90,0.00,0.00
Control_v_Mild,Inflammation,OID00562,CSF-1,P09603,0.59,0.39,0.79,10.14,0.00,0.00
Control_v_Mild,Immune,OID00999,STC1,P52823,1.55,1.02,2.08,6.17,0.00,0.00
Control_v_Case,Neurology,OID00336,SCARA5,Q6ZMJ2,-0.64,-0.88,-0.40,8.51,0.00,0.00
Control_v_Critical,Immune,OID00939,ZBTB16,Q05516,-2.59,-3.49,-1.69,3.04,0.00,0.00
Mild_v_Critical,Neurology,OID00360,CTSS,P25774,0.50,0.34,0.67,5.91,0.00,0.00
Control_v_Case,Inflammation,OID01213,DNER,Q8NFT8,-0.68,-0.93,-0.42,8.47,0.00,0.00
Mild_v_Critical,Inflammation,OID00532,CCL3,P10147,1.51,1.00,2.02,6.27,0.00,0.00
Control_v_Critical,Immune,OID00979,BIRC2,Q13490,-1.38,-1.87,-0.90,1.50,0.00,0.00
Control_v_Critical,Inflammation,OID00518,PD-L1,Q9NZQ7,1.25,0.81,1.69,6.17,0.00,0.00
Control_v_Critical,Cardiovascular,OID00464,CA5A,P35218,2.22,1.44,2.99,3.49,0.00,0.00
Control_v_Case,Neurology,OID00331,TMPRSS5,Q9H3S3,-0.72,-0.99,-0.45,2.54,0.00,0.00
Control_v_Case,Immune,OID01010,IFNLR1,Q8IU57,0.72,0.44,0.99,2.73,0.00,0.00
Control_v_Critical,Immune,OID00951,CLEC4A,Q9UMR7,-0.92,-1.25,-0.60,3.59,0.00,0.00
Control_v_Case,Neurology,OID00311,Alpha-2-MRAP,P30533,-1.04,-1.43,-0.64,8.72,0.00,0.00
Control_v_Case,Immune,OID01021,ITGA11,Q9UKX5,-0.98,-1.35,-0.60,2.72,0.00,0.00
Mild_v_Critical,Neurology,OID00324,gal-8,O00214,0.93,0.61,1.25,6.11,0.00,0.00
Mild_v_Critical,Inflammation,OID00528,IL10,P22301,1.17,0.77,1.57,4.67,0.00,0.00
Control_v_Case,Neurology,OID00308,CD38,P28907,0.81,0.50,1.13,5.99,0.00,0.00
Control_v_Case,Cardiovascular,OID00401,PDGF subunit B,P01127,-1.22,-1.70,-0.75,10.25,0.00,0.00
Control_v_Case,Inflammation,OID00500,SCF,P21583,-1.20,-1.67,-0.74,8.80,0.00,0.00
Control_v_Mild,Cardiovascular,OID00449,HB-EGF,Q99075,-2.88,-3.91,-1.84,6.81,0.00,0.00
Control_v_Mild,Cardiovascular,OID00441,MMP7,P09237,1.51,0.96,2.05,8.90,0.00,0.00
Control_v_Case,Inflammation,OID00471,IL8,P10145,1.73,1.05,2.40,5.80,0.00,0.00
Control_v_Case,Inflammation,OID00522,HGF,P14210,1.33,0.81,1.85,9.04,0.00,0.00
Control_v_Mild,Neurology,OID00322,HAGH,Q16775,-2.25,-3.06,-1.44,6.73,0.00,0.00
Mild_v_Critical,Inflammation,OID00535,CXCL10,P02778,1.83,1.19,2.46,11.60,0.00,0.00
Control_v_Case,Inflammation,OID00480,LAP TGF-beta-1,P01137,-1.05,-1.46,-0.64,6.77,0.00,0.00
Mild_v_Severe,Cardiovascular,OID00391,TNFRSF10A,O00220,1.09,0.76,1.42,3.05,0.00,0.00
Control_v_Case,Immune,OID01001,FAM3B,P58499,-0.83,-1.16,-0.51,4.64,0.00,0.00
Control_v_Critical,Cardiovascular,OID00439,CCL17,Q92583,-3.59,-4.90,-2.29,9.69,0.00,0.00
Control_v_Critical,Immune,OID01020,TANK,Q92844,-2.42,-3.30,-1.54,2.69,0.00,0.00
Control_v_Case,Inflammation,OID00554,NT-3,P20783,-0.81,-1.13,-0.49,2.14,0.00,0.00
Mild_v_Critical,Inflammation,OID00542,CD40,P25942,0.81,0.52,1.09,11.36,0.00,0.00
Control_v_Severe,Inflammation,OID00520,CXCL5,P42830,-5.69,-7.45,-3.94,12.55,0.00,0.00
Mild_v_Critical,Inflammation,OID00494,OSM,P13725,1.81,1.18,2.45,5.17,0.00,0.00
Mild_v_Severe,Neurology,OID00354,IL-5R-alpha,Q01344,1.47,1.02,1.92,4.09,0.00,0.00
Control_v_Case,Inflammation,OID00530,CCL23,P55773,1.12,0.68,1.57,10.78,0.00,0.00
Control_v_Case,Inflammation,OID00549,MCP-2,P80075,1.64,0.99,2.30,9.86,0.00,0.00
Control_v_Case,Neurology,OID00318,CLEC1B,Q9P126,-1.50,-2.09,-0.90,11.05,0.00,0.00
Mild_v_Severe,Cardiovascular,OID00396,TRAIL-R2,O14763,1.09,0.75,1.43,6.23,0.00,0.00
Control_v_Case,Neurology,OID00350,GCP5,P78333,-1.14,-1.59,-0.68,4.70,0.00,0.00
Control_v_Case,Neurology,OID00355,PDGF-R-alpha,P16234,0.57,0.34,0.79,5.42,0.00,0.00
Mild_v_Critical,Inflammation,OID00556,CCL20,P78556,2.39,1.53,3.24,8.51,0.00,0.00
Mild_v_Critical,Inflammation,OID00521,TRANCE,O14788,-1.81,-2.46,-1.16,3.79,0.00,0.00
Mild_v_Critical,Neurology,OID00320,MATN3,O15232,1.34,0.86,1.81,9.77,0.00,0.00
Mild_v_Critical,Inflammation,OID05548,TNF,P01375,1.00,0.64,1.36,3.48,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00437,PTX3,P26022,0.99,0.63,1.35,4.79,0.00,0.00
Control_v_Case,Immune,OID00964,TRIM21,P19474,-1.43,-2.00,-0.85,4.19,0.00,0.00
Control_v_Case,Neurology,OID00298,NBL1,P41271,-0.16,-0.22,-0.09,4.94,0.00,0.00
Control_v_Critical,Immune,OID01014,MASP1,P48740,-0.91,-1.26,-0.57,1.88,0.00,0.00
Control_v_Mild,Immune,OID00945,IRF9,Q00978,-1.45,-1.99,-0.91,2.29,0.00,0.00
Control_v_Critical,Inflammation,OID00494,OSM,P13725,2.56,1.59,3.52,5.19,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00469,PARP-1,P09874,1.32,0.84,1.81,5.04,0.00,0.00
Control_v_Critical,Immune,OID01018,DDX58,O95786,2.15,1.33,2.97,4.62,0.00,0.00
Mild_v_Critical,Neurology,OID00335,Beta-NGF,P01138,0.56,0.35,0.77,1.46,0.00,0.00
Mild_v_Severe,Cardiovascular,OID00459,CTSL1,P07711,1.30,0.88,1.73,7.88,0.00,0.00
Mild_v_Critical,Inflammation,OID00472,VEGFA,P15692,1.06,0.67,1.46,11.41,0.00,0.00
Control_v_Critical,Cardiovascular,OID00416,SPON2,Q9BUD6,0.56,0.34,0.77,8.44,0.00,0.00
Mild_v_Critical,Inflammation,OID00530,CCL23,P55773,1.40,0.88,1.92,10.97,0.00,0.00
Mild_v_Severe,Immune,OID01021,ITGA11,Q9UKX5,-0.82,-1.08,-0.55,2.71,0.00,0.00
Mild_v_Critical,Inflammation,OID00562,CSF-1,P09603,0.35,0.22,0.48,10.45,0.00,0.00
Mild_v_Critical,Immune,OID00996,BACH1,O14867,0.90,0.56,1.24,1.49,0.00,0.00
Control_v_Case,Cardiovascular,OID00466,CD4,P01730,0.65,0.38,0.91,4.84,0.00,0.00
Control_v_Case,Cardiovascular,OID00408,SCF,P21583,-1.18,-1.67,-0.69,8.87,0.00,0.00
Control_v_Critical,Inflammation,OID00521,TRANCE,O14788,-1.94,-2.69,-1.19,3.73,0.00,0.00
Control_v_Case,Neurology,OID00322,HAGH,Q16775,-1.51,-2.13,-0.88,6.54,0.00,0.00
Control_v_Critical,Immune,OID00962,FXYD5,Q96DB9,-1.43,-1.99,-0.88,1.56,0.00,0.00
Mild_v_Critical,Neurology,OID00333,GFR-alpha-1,P56159,1.20,0.75,1.65,7.55,0.00,0.00
Mild_v_Critical,Inflammation,OID01213,DNER,Q8NFT8,-0.53,-0.74,-0.33,8.34,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00457,ACE2,Q9BYF1,1.38,0.86,1.90,3.96,0.00,0.00
Control_v_Case,Cardiovascular,OID00438,PSGL-1,Q14242,-0.37,-0.52,-0.21,4.51,0.00,0.00
Control_v_Mild,Immune,OID01015,LAMP3,Q9UQV4,1.77,1.08,2.46,4.45,0.00,0.00
Mild_v_Severe,Inflammation,OID00489,IL-20RA,Q9UHF4,0.35,0.23,0.47,0.93,0.00,0.00
Control_v_Case,Neurology,OID00297,SMOC2,Q9H3U7,-0.81,-1.15,-0.47,7.71,0.00,0.00
Control_v_Case,Neurology,OID00314,RGMB,Q6NW40,-0.71,-1.01,-0.41,5.80,0.00,0.00
Mild_v_Critical,Neurology,OID00287,NMNAT1,Q9HAN9,1.27,0.78,1.75,3.88,0.00,0.00
Mild_v_Critical,Immune,OID01021,ITGA11,Q9UKX5,-1.00,-1.39,-0.62,2.56,0.00,0.00
Control_v_Mild,Neurology,OID00333,GFR-alpha-1,P56159,0.67,0.41,0.93,6.86,0.00,0.00
Control_v_Critical,Inflammation,OID00511,LIF-R,P42702,0.82,0.49,1.14,4.32,0.00,0.00
Control_v_Severe,Inflammation,OID00487,AXIN1,O15169,-5.91,-7.89,-3.93,6.39,0.00,0.00
Control_v_Case,Inflammation,OID00536,4E-BP1,Q13541,-1.41,-2.02,-0.81,9.19,0.00,0.00
Control_v_Case,Cardiovascular,OID00448,AGRP,O00253,0.73,0.42,1.04,5.58,0.00,0.00
Control_v_Critical,Inflammation,OID00552,CX3CL1,P78423,1.06,0.64,1.49,4.47,0.00,0.00
Control_v_Case,Neurology,OID00377,Nr-CAM,Q92823,-0.34,-0.48,-0.19,9.51,0.00,0.00
Control_v_Critical,Immune,OID01004,DFFA,O00273,-1.63,-2.28,-0.97,6.36,0.00,0.00
Control_v_Critical,Neurology,OID00301,NCAN,O14594,0.69,0.41,0.97,8.50,0.00,0.00
Control_v_Critical,Cardiovascular,OID00431,PRELP,P51888,0.44,0.26,0.61,8.35,0.00,0.00
Mild_v_Severe,Inflammation,OID00506,TNFSF14,O43557,1.70,1.11,2.29,4.69,0.00,0.00
Control_v_Mild,Inflammation,OID00536,4E-BP1,Q13541,-2.20,-3.08,-1.32,9.23,0.00,0.00
Control_v_Case,Immune,OID00969,HNMT,P50135,1.03,0.58,1.48,9.41,0.00,0.00
Control_v_Critical,Immune,OID00961,GALNT3,Q14435,1.40,0.83,1.98,3.06,0.00,0.00
Mild_v_Critical,Neurology,OID00318,CLEC1B,Q9P126,1.83,1.11,2.56,10.34,0.00,0.00
Mild_v_Critical,Neurology,OID00363,N2DL-2,Q9BZM5,1.17,0.71,1.63,3.58,0.00,0.00
Control_v_Case,Immune,OID01018,DDX58,O95786,1.33,0.75,1.90,4.04,0.00,0.00
Control_v_Case,Inflammation,OID00532,CCL3,P10147,1.29,0.73,1.85,6.17,0.00,0.00
Mild_v_Severe,Inflammation,OID00494,OSM,P13725,2.04,1.33,2.76,4.63,0.00,0.00
Control_v_Mild,Inflammation,OID00555,TWEAK,O43508,-0.95,-1.33,-0.57,8.94,0.00,0.00
Mild_v_Critical,Inflammation,OID00486,CXCL11,O14625,1.86,1.11,2.60,9.28,0.00,0.00
Control_v_Critical,Cardiovascular,OID00387,IL-4RA,P24394,0.91,0.54,1.29,2.62,0.00,0.00
Control_v_Case,Cardiovascular,OID00427,THBS2,P35442,0.29,0.16,0.42,5.60,0.00,0.00
Control_v_Case,Neurology,OID00349,CLEC10A,Q8IUN9,-0.86,-1.24,-0.47,4.92,0.00,0.00
Mild_v_Critical,Immune,OID00994,SRPK2,P78362,1.09,0.64,1.53,1.05,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00394,TNFRSF11A,Q9Y6Q6,0.86,0.51,1.21,6.01,0.00,0.00
Mild_v_Critical,Inflammation,OID00490,CXCL9,Q07325,1.37,0.81,1.94,8.07,0.00,0.00
Control_v_Severe,Cardiovascular,OID00388,SRC,P12931,-3.65,-4.94,-2.36,7.10,0.00,0.00
Control_v_Critical,Immune,OID00937,GLB1,P16278,-1.65,-2.34,-0.95,2.72,0.00,0.00
Control_v_Case,Neurology,OID00335,Beta-NGF,P01138,0.37,0.20,0.54,1.39,0.00,0.00
Control_v_Mild,Immune,OID00938,PSIP1,O75475,-1.99,-2.82,-1.16,3.58,0.00,0.00
Mild_v_Critical,Inflammation,OID00513,CCL19,Q99731,1.58,0.93,2.23,10.34,0.00,0.00
Mild_v_Critical,Neurology,OID00366,CLM-1,Q8TDQ1,1.16,0.68,1.64,6.91,0.00,0.00
Control_v_Case,Immune,OID00971,MILR1,Q7Z6M3,0.76,0.41,1.11,3.21,0.00,0.00
Control_v_Critical,Cardiovascular,OID00395,PAR-1,P25116,-1.05,-1.50,-0.60,9.29,0.00,0.00
Control_v_Critical,Neurology,OID00317,ADAM 22,Q9P0K1,-0.98,-1.40,-0.56,4.19,0.00,0.00
Control_v_Mild,Immune,OID00951,CLEC4A,Q9UMR7,-0.72,-1.02,-0.41,3.94,0.00,0.00
Control_v_Case,Inflammation,OID00478,IL7,P13232,-1.00,-1.46,-0.54,2.84,0.00,0.00
Mild_v_Critical,Immune,OID00973,NFATC3,Q12968,0.68,0.39,0.97,1.03,0.00,0.00
Control_v_Case,Immune,OID00974,LY75,O60449,-0.63,-0.93,-0.34,2.84,0.00,0.00
Control_v_Severe,Cardiovascular,OID00401,PDGF subunit B,P01127,-2.93,-4.00,-1.85,10.88,0.00,0.00
Control_v_Case,Inflammation,OID00504,MCP-4,Q99616,-1.32,-1.93,-0.70,14.70,0.00,0.00
Mild_v_Critical,Immune,OID00949,CLEC4C,Q8WTT0,-0.96,-1.37,-0.55,3.61,0.00,0.00
Mild_v_Severe,Inflammation,OID00524,IL-24,Q13007,0.69,0.43,0.95,1.08,0.00,0.00
Mild_v_Severe,Immune,OID00985,CKAP4,Q07065,0.79,0.50,1.09,5.02,0.00,0.00
Control_v_Critical,Neurology,OID00359,JAM-B,P57087,-0.92,-1.33,-0.52,7.90,0.00,0.00
Control_v_Critical,Cardiovascular,OID00386,BOC,Q9BWV1,-0.94,-1.35,-0.53,3.34,0.00,0.00
Mild_v_Critical,Neurology,OID00303,ROBO2,Q9HCK4,-0.88,-1.26,-0.50,5.10,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00440,CCL3,P10147,1.35,0.77,1.93,6.83,0.00,0.00
Control_v_Critical,Immune,OID00971,MILR1,Q7Z6M3,1.00,0.56,1.44,3.22,0.00,0.00
Control_v_Critical,Neurology,OID00316,CNTN5,O94779,-0.69,-1.00,-0.39,4.33,0.00,0.00
Control_v_Case,Neurology,OID00367,SPOCK1,Q08629,0.38,0.20,0.55,2.49,0.00,0.00
Control_v_Critical,Neurology,OID00323,LXN,Q9BS40,-0.97,-1.40,-0.54,2.31,0.00,0.00
Mild_v_Critical,Cardiovascular,OID00445,Dkk-1,O94907,1.24,0.70,1.77,8.78,0.00,0.00
Control_v_Severe,Immune,OID00981,NF2,P35240,-4.41,-6.06,-2.76,2.76,0.00,0.00
Mild_v_Critical,Inflammation,OID00501,IL18,Q14116,0.94,0.53,1.34,9.62,0.00,0.00
Mild_v_Critical,Immune,OID01004,DFFA,O00273,0.91,0.52,1.31,4.64,0.00,0.00
Mild_v_Critical,Immune,OID00951,CLEC4A,Q9UMR7,-0.65,-0.93,-0.37,3.37,0.00,0.00
Mild_v_Critical,Neurology,OID00299,EFNA4,P52798,0.54,0.31,0.78,3.16,0.00,0.00
Control_v_Severe,Immune,OID00958,DCTN1,Q14203,-5.27,-7.26,-3.29,6.45,0.00,0.00
Mild_v_Critical,Neurology,OID00345,TNFRSF12A,Q9NP84,1.06,0.60,1.52,5.26,0.00,0.00
Mild_v_Critical,Neurology,OID00343,GDNFR-alpha-3,O60609,-0.68,-0.97,-0.38,4.63,0.00,0.00
Mild_v_Critical,Neurology,OID00321,RSPO1,Q2MKA7,0.95,0.54,1.37,2.96,0.00,0.00
Control_v_Mild,Immune,OID00943,CNTNAP2,Q9UHC6,-0.83,-1.20,-0.47,1.72,0.00,0.00
Mild_v_Severe,Neurology,OID00317,ADAM 22,Q9P0K1,-0.67,-0.93,-0.41,4.11,0.00,0.00
Control_v_Critical,Neurology,OID00342,SCARF2,Q96GP6,-0.86,-1.25,-0.47,6.09,0.00,0.00
Control_v_Mild,Cardiovascular,OID00406,Gal-9,O00182,0.96,0.53,1.38,8.07,0.00,0.00
Control_v_Critical,Cardiovascular,OID00381,ADM,P35318,1.20,0.66,1.73,8.73,0.00,0.00
Control_v_Case,Inflammation,OID00556,CCL20,P78556,1.95,1.01,2.89,8.16,0.00,0.00
Control_v_Critical,Neurology,OID00347,FLRT2,O43155,-0.54,-0.79,-0.30,2.34,0.00,0.00
Control_v_Severe,Immune,OID00994,SRPK2,P78362,-5.96,-8.25,-3.68,4.40,0.00,0.00
Mild_v_Severe,Immune,OID00987,HEXIM1,O94992,1.23,0.75,1.70,4.20,0.00,0.00
Mild_v_Severe,Immune,OID00996,BACH1,O14867,0.65,0.39,0.90,1.10,0.00,0.00
Control_v_Mild,Inflammation,OID00535,CXCL10,P02778,2.42,1.34,3.51,10.08,0.00,0.00
Control_v_Mild,Cardiovascular,OID00464,CA5A,P35218,1.59,0.87,2.30,2.51,0.00,0.00
Control_v_Mild,Neurology,OID00298,NBL1,P41271,-0.25,-0.36,-0.14,4.95,0.00,0.00
